"emp_id","emp_title","emp_length"
1,"Ryder","< 1 year"
2,"MKC Accounting","9 years"
3,"Chemat Technology Inc","4 years"
4,"barnes distribution","< 1 year"
5,"J&J Steel Inc","10+ years"
6,"Studio 94 Corp","3 years"
7,"American Airlines","10+ years"
8,"SCI Mahanoy","10+ years"
9,"Tech Data Corp","10+ years"
10,"teltow contracting","10+ years"
11,"Ericsson","10+ years"
12,"myrvpartsplace.com","3 years"
13,"AEG LIVE","4 years"
14,"henkel corporation","5 years"
15,"AXA Assistance","4 years"
16,"HSA-UWC","< 1 year"
17,"Child's Day","1 year"
18,"OEC Freight","4 years"
19,"Sandestin Beach Hilton","10+ years"
20,"","10+ years"
21,"Norman G. Olson Insurance","6 years"
22,"","< 1 year"
23,"Infotrieve, Inc.","< 1 year"
24,"self employed","4 years"
25,"Clark County School District","10+ years"
26,"The Mount Sinai School of Medicine","6 years"
27,"Blue Ridge Design Group","< 1 year"
28,"Abbott Nutrition","10+ years"
29,"rice &werthmann","3 years"
30,"Five County Assoc of Governments","6 years"
31,"north ga dentention center","< 1 year"
32,"","6 years"
33,"sky powersports","6 years"
34,"Synovus Bank","2 years"
35,"ACUMEN FISCAL AGENT/MS ROBINSON","< 1 year"
36,"inspired automation inc","10+ years"
37,"self","10+ years"
38,"Able Electronics","1 year"
39,"Abraxas I","< 1 year"
40,"La curacao","6 years"
41,"Outback Steakhouse","7 years"
42,"URS corp","3 years"
43,"walmart","1 year"
44,"EdgeStream Inc","5 years"
45,"MAD MATT'S Bar & Grille","8 years"
46,"Dominos Pizza","3 years"
47,"Pesci Family","10+ years"
48,"Forum Health","< 1 year"
49,"River Trails Park District","8 years"
50,"DMS Marketing","2 years"
51,"Nesle","< 1 year"
52,"24 hour fitness","7 years"
53,"Starbucks","2 years"
54,"URS Corp","4 years"
55,"Berean Group","4 years"
56,"Tideway Systems","< 1 year"
57,"mdm golf","< 1 year"
58,"NetVida Marketing, Inc.","5 years"
59,"CK General Construction","9 years"
60,"Ramsey County","10+ years"
61,"Central Washington Hospital","2 years"
62,"Comerica Bank","10+ years"
63,"Lexington Alarm Systems","< 1 year"
64,"Arborist Services","2 years"
65,"Evergreen Treatment Services","3 years"
66,"Church of God of Prophecy","< 1 year"
67,"Starbucks","1 year"
68,"Comcast","2 years"
69,"Newcomb Spring","1 year"
70,"Chemlink Laboratories","1 year"
71,"Jesuit College Preparatory School","1 year"
72,"Diamond Offshore","1 year"
73,"BRP US Inc","1 year"
74,"Independant Contractor","1 year"
75,"Northwwind Engineering","1 year"
76,"Fakouri Electrical","1 year"
77,"Second Empire Furniture Inc.","10+ years"
78,"state of missouri department of correcti","10+ years"
79,"Stafford Meat Co., Inc.","10+ years"
80,"Local 51","10+ years"
81,"Bank of America","10+ years"
82,"operating engineers local 158","10+ years"
83,"williams service co","10+ years"
84,"C&E Concrete,inc.","10+ years"
85,"BASF Corporation","10+ years"
