"member_id","state_id","emp_id","annual_income","dti","home_ownership"
1314167,1,1,30000,0.01,"RENT"
1288686,2,2,48000,0.0535,"RENT"
1304116,3,3,50000,0.2088,"RENT"
1272024,4,4,42000,0.054,"MORTGAGE"
1302971,5,5,83000,0.0231,"MORTGAGE"
1294481,6,6,28000,0.126,"RENT"
1301833,7,7,94800,0.2453,"MORTGAGE"
1291243,8,8,59000,0.0665,"OWN"
1299335,9,9,116400,0.0394,"MORTGAGE"
1298401,10,10,36000,0.1773,"MORTGAGE"
1289131,11,11,75000,0.088,"MORTGAGE"
1295018,12,12,75000,0.2288,"RENT"
1294929,13,13,35000,0.0401,"RENT"
1249642,14,14,48000,0.1533,"RENT"
1293124,15,15,92000,0.106,"RENT"
1292578,16,16,60000,0.063,"RENT"
1277552,17,17,16800,0.035,"RENT"
1291775,18,18,40000,0.1869,"RENT"
1291322,19,19,35000,0.1392,"MORTGAGE"
1289636,20,20,40000,0.0957,"OWN"
112227,21,21,40000,0.0255,"RENT"
183496,22,22,120000,0.0767,"MORTGAGE"
232106,23,23,60000,0.1108,"MORTGAGE"
211606,24,24,72000,0.0512,"OWN"
847024,25,25,70800,0.0795,"MORTGAGE"
1233120,26,26,80000,0.0648,"MORTGAGE"
454145,27,27,36000,0.15,"MORTGAGE"
544784,28,28,45000,0.152,"MORTGAGE"
843127,29,29,86400,0.0385,"MORTGAGE"
985412,30,30,24600,0.0785,"MORTGAGE"
570309,31,31,30000,0.0992,"MORTGAGE"
942813,32,32,48000,0.2357,"MORTGAGE"
1255647,33,33,60000,0.0366,"MORTGAGE"
624878,34,34,34000,0.1486,"MORTGAGE"
671773,35,35,18000,0.216,"OWN"
593245,36,36,43800,0.0737,"OWN"
432187,37,37,98736,0.0812,"OWN"
920793,38,38,48000,0.051,"OWN"
506847,39,39,27852,0.1021,"OWN"
986688,40,40,48000,0.2585,"RENT"
1190684,41,41,30000,0.1872,"RENT"
975126,42,42,22800,0.0526,"RENT"
596856,43,43,12720,0,"RENT"
633723,44,44,31000,0.0159,"RENT"
571361,45,45,89650,0.0056,"RENT"
942003,46,46,45000,0.1464,"RENT"
416412,47,47,39996,0.2298,"RENT"
656002,48,48,49800,0.174,"RENT"
446914,49,49,15000,0.1688,"RENT"
366581,50,50,48000,0.1753,"RENT"
290796,51,51,37440,0.0772,"RENT"
1059380,52,52,105000,0.135,"RENT"
371139,53,53,15000,0.14,"RENT"
1275383,54,54,59100,0.1287,"RENT"
930853,55,55,126000,0.1529,"MORTGAGE"
125914,56,56,173000,0.0072,"MORTGAGE"
260821,57,57,60000,0.0894,"MORTGAGE"
188654,58,58,40000,0.1872,"MORTGAGE"
243089,59,59,200000,0.0484,"MORTGAGE"
225530,60,60,72000,0.2257,"MORTGAGE"
253715,61,61,10000,0,"OWN"
188466,62,62,62000,0.1407,"RENT"
167318,63,63,28800,0,"RENT"
219037,64,64,50000,0.0506,"RENT"
218997,65,65,37000,0.1674,"RENT"
281309,66,66,54263,0.1238,"RENT"
120227,67,67,18000,0.18,"RENT"
253974,68,68,41000,0.1692,"RENT"
553755,69,69,85000,0.0239,"MORTGAGE"
446077,70,70,28500,0.0223,"MORTGAGE"
394401,71,71,40308,0.0578,"MORTGAGE"
1195796,72,72,149400,0.0994,"MORTGAGE"
950147,73,73,54000,0.1129,"MORTGAGE"
943695,74,74,38400,0.0319,"MORTGAGE"
978223,75,75,60000,0.0242,"MORTGAGE"
832879,76,76,58000,0.2127,"MORTGAGE"
803704,77,77,31000,0.0283,"MORTGAGE"
984370,78,78,33600,0.0161,"MORTGAGE"
1193520,79,79,64320,0.025,"MORTGAGE"
1001198,80,80,79200,0.0218,"MORTGAGE"
1082151,81,81,63996,0.0651,"MORTGAGE"
873188,82,82,72000,0.2075,"MORTGAGE"
1251828,83,83,72000,0.1782,"MORTGAGE"
1102391,84,84,41784,0.1872,"MORTGAGE"
1227382,85,85,96000,0.238,"MORTGAGE"
1230439,86,86,54000,0.2407,"MORTGAGE"
863546,87,87,36000,0.2293,"MORTGAGE"
1103400,88,88,114000,0.1658,"MORTGAGE"
1078994,89,89,48000,0.1732,"MORTGAGE"
972180,90,90,39600,0.1406,"MORTGAGE"
706758,91,91,108000,0.1976,"MORTGAGE"
699868,92,92,57431,0.0618,"MORTGAGE"
1234988,93,93,32468.8,0.2935,"MORTGAGE"
569597,94,94,26000,0.0429,"MORTGAGE"
556476,95,95,75000,0.0234,"MORTGAGE"
1257204,96,96,58000,0.2692,"MORTGAGE"
891691,97,97,50000,0.203,"MORTGAGE"
845936,98,98,48000,0.1988,"MORTGAGE"
969361,99,99,73000,0.1433,"MORTGAGE"
1031607,100,100,68000,0.0286,"MORTGAGE"
961964,101,101,112992,0.1825,"MORTGAGE"
425903,102,102,135000,0.0518,"MORTGAGE"
615502,103,103,75181,0.1831,"MORTGAGE"
1079988,104,104,110400,0.1916,"MORTGAGE"
432897,105,105,48000,0.1257,"MORTGAGE"
596861,106,106,54000,0.0267,"MORTGAGE"
928926,107,107,85000,0.04,"MORTGAGE"
805177,108,108,36000,0.1997,"MORTGAGE"
1053506,109,109,36000,0.1883,"MORTGAGE"
725950,110,110,120000,0.052,"MORTGAGE"
582432,111,111,60000,0.1004,"MORTGAGE"
1281883,112,112,62352,0.1207,"MORTGAGE"
903454,113,113,54000,0.1129,"MORTGAGE"
426115,114,114,60000,0.0036,"MORTGAGE"
1255698,115,115,66000,0.0118,"MORTGAGE"
595343,116,116,241875,0.064,"MORTGAGE"
1087835,117,117,24000,0.067,"MORTGAGE"
709388,118,118,96000,0.0829,"MORTGAGE"
370608,119,119,90000,0.0428,"MORTGAGE"
442237,120,120,81804,0.0898,"MORTGAGE"
546914,121,121,28880,0.1596,"MORTGAGE"
1104233,122,122,51000,0.1753,"MORTGAGE"
1044500,123,123,49000,0.0585,"MORTGAGE"
1009793,124,124,42000,0.044,"MORTGAGE"
574859,125,125,50000,0.0317,"MORTGAGE"
642219,126,126,85000,0.0329,"MORTGAGE"
496234,127,127,50000,0.0833,"MORTGAGE"
1271153,128,128,139200,0.2009,"MORTGAGE"
884942,129,129,57600,0.0725,"MORTGAGE"
914846,130,130,37459,0.0061,"MORTGAGE"
368318,131,131,58500,0.0507,"MORTGAGE"
861281,132,132,60000,0.014,"MORTGAGE"
