"state_id","state_code"
1,"GA"
2,"CA"
3,"CA"
4,"TX"
5,"IL"
6,"CA"
7,"TX"
8,"PA"
9,"FL"
10,"MI"
11,"TX"
12,"CA"
13,"CA"
14,"CA"
15,"IL"
16,"RI"
17,"TX"
18,"NY"
19,"FL"
20,"MD"
21,"WI"
22,"FL"
23,"MI"
24,"MD"
25,"NV"
26,"PA"
27,"GA"
28,"MI"
29,"MI"
30,"UT"
31,"GA"
32,"WA"
33,"FL"
34,"FL"
35,"GA"
36,"CA"
37,"NH"
38,"TX"
39,"PA"
40,"CA"
41,"HI"
42,"WA"
43,"FL"
44,"MA"
45,"NV"
46,"OK"
47,"NJ"
48,"OH"
49,"IL"
50,"CA"
51,"TX"
52,"AZ"
53,"FL"
54,"CA"
55,"NY"
56,"WI"
57,"CT"
58,"TX"
59,"NJ"
60,"MN"
61,"WA"
62,"CA"
63,"MA"
64,"CO"
65,"WA"
66,"TN"
67,"VA"
68,"VA"
69,"CT"
70,"GA"
71,"TX"
72,"TX"
73,"WI"
74,"OH"
75,"MO"
76,"RI"
77,"MD"
78,"MO"
79,"CA"
80,"RI"
81,"DE"
82,"NY"
83,"PA"
84,"NM"
85,"TX"
86,"NY"
87,"NV"
88,"MN"
89,"TX"
90,"LA"
91,"NJ"
92,"FL"
93,"AR"
94,"AR"
95,"OH"
96,"KY"
97,"NC"
98,"OH"
99,"CA"
100,"CT"
101,"GA"
102,"VA"
103,"GA"
104,"IL"
105,"CA"
106,"TX"
107,"CO"
108,"TX"
109,"NY"
110,"CA"
111,"AZ"
112,"OH"
113,"PA"
114,"MD"
115,"TX"
116,"FL"
117,"NY"
118,"VA"
119,"CA"
120,"FL"
121,"CA"
122,"VA"
123,"GA"
124,"WA"
125,"GA"
126,"AZ"
127,"GA"
128,"PA"
129,"NY"
130,"NV"
131,"GA"
132,"CA"
133,"NY"
134,"FL"
135,"CA"
136,"CA"
137,"SC"
138,"CT"
139,"OH"
140,"VA"
141,"CA"
142,"CA"
143,"DE"
144,"MO"
145,"FL"
146,"CT"
147,"TX"
148,"MA"
149,"IL"
150,"FL"
151,"TX"
152,"FL"
153,"VA"
154,"VA"
155,"OH"
156,"MO"
157,"NY"
158,"PA"
159,"MO"
160,"WV"
161,"IL"
162,"IL"
163,"KY"
164,"AZ"
165,"MI"
166,"NJ"
167,"NJ"
168,"LA"
169,"MI"
170,"NY"
171,"TX"
172,"MD"
173,"NY"
174,"WI"
175,"CO"
176,"WA"
177,"LA"
178,"NM"
179,"IL"
180,"MD"
